n,risk,safe_first,score,time.patch1,time.patch2,time.hiding,learning.mistakes,learning.time,self.score,city,self.experience.score,sleep.hours,finish.time
7,risky,safe first,13,5,104,34,-0.773480148,-0.071160779,6,1,1,7.5,254
8,risky,risky first,15,22,208,26,-0.971576413,0.121572581,6,1,1,6,288
9,risky,safe first,7,41,14,7,-0.773480148,-0.100592009,6,0,3,6,225.5
10,risky,risky first,6,42,100,23,0.216706149,0.109810397,9,1,1,7,335.4942
11,risky,safe first,12,23,90,11,-0.971576413,-0.212953895,8,1,2,8,171.4598
12,risky,risky first,16,23,294,12,0.954915449,-0.082878622,7,1,1,5,230.1723
13,risky,safe first,12,55,64,44,0.065460945,0.452584746,10,1,1,7,647.6465
14,risky,risky first,15,31,126,19,2.037256118,0.067886078,8,1,3,5,296.6955
15,risky,safe first,10,38,43,28,-0.971576413,-0.157385539,8,1,0,6,187.9833
16,risky,risky first,19,20,289,22,-1.835774212,-0.325266638,7,1,1,10,146.3144
17,risky,safe first,10,38,182,40,0.268736041,0.219705939,8,1,0,4,443.115
18,risky,risky first,6,58,18,31,0.257994424,0.182912614,5,1,0,6,408.0943
19,risky,safe first,10,8,76,30,-0.850766745,-0.165658364,7,1,2,4,188.7235
20,risky,risky first,12,5,250,6,3.048477583,0.221275289,8,1,2,7,395.3813
21,risky,safe first,14,6,126,15,0.943344396,-0.246094925,10,1,3,6,174.2804
22,risky,risky first,10,9,24,4,-1.835774212,-0.310386129,6,1,2,7,154.2961
23,risky,safe first,11,5,47,19,-0.003318831,-0.07917058,6,0,1,4,215.5892
24,risky,risky first,19,16,69,25,-0.850766745,-0.095085833,7,0,0,7,218.4498
25,risky,safe first,9,11,130,26,1.057622705,0.081676587,8,1,1,8,319.0832
26,risky,risky first,16,9,109,15,0.095896481,-0.016130425,5,1,0,3,266.8119
27,risky,safe first,12,44,94,15,0.228704915,0.377958013,7,1,0,1,525.8907
28,risky,risky first,17,9,122,22,-0.768301318,0.363297356,8,1,0,5,522.1871
29,risky,risky first,8,19,60,12,-0.850766745,-0.162660053,8,1,2,4,187.7233
31,risky,safe first,14,5,111,10,1.949946218,0.072643499,7,1,2,6,271.9091
32,risky,risky first,10,22,132,6,-0.798736853,-0.062926415,8,1,1,7.5,230.0254
33,risky,safe first,10,12,176,8,0.238300505,0.115920945,10,1,1,6,392.8571
34,risky,risky first,16,24,300,6,0.124645131,-0.081503273,10,1,2,8,257.653
35,risky,safe first,10,5,300,7,-0.768301318,-0.032476666,6,1,2,4,273.9796
36,risky,risky first,12,7,300,3,1.019278465,-0.057962147,7,1,3,5,232.1428
38,risky,risky first,11,46,300,25,-0.79158256,0.011228067,8,1,0,6,290.8163
39,risky,safe first,13,32,300,0,-0.79158256,-0.072712236,5,1,2,7,257.1428
7,safe,safe first,21,22,150,7,-0.773480148,-0.071160779,6,1,1,7.5,254
8,safe,risky first,15,21,147,9,-0.971576413,0.121572581,6,1,1,6,288
9,safe,safe first,5,38,187,27,-0.773480148,-0.100592009,6,0,3,6,225.5
10,safe,risky first,5,31,117,10,0.216706149,0.109810397,9,1,1,7,335.4942
11,safe,safe first,19,42,125,10,-0.971576413,-0.212953895,8,1,2,8,171.4598
12,safe,risky first,18,29,93,7,0.954915449,-0.082878622,7,1,1,5,230.1723
13,safe,safe first,11,73,25,7,0.065460945,0.452584746,10,1,1,7,647.6465
14,safe,risky first,12,18,276,9,2.037256118,0.067886078,8,1,3,5,296.6955
15,safe,safe first,12,70,97,6,-0.971576413,-0.157385539,8,1,0,6,187.9833
16,safe,risky first,16,17,248,8,-1.835774212,-0.325266638,7,1,1,10,146.3144
17,safe,safe first,15,37,106,17,0.268736041,0.219705939,8,1,0,4,443.115
18,safe,risky first,13,50,245,2,0.257994424,0.182912614,5,1,0,6,408.0943
19,safe,safe first,19,24,89,8,-0.850766745,-0.165658364,7,1,2,4,188.7235
20,safe,risky first,18,7,218,15,3.048477583,0.221275289,8,1,2,7,395.3813
21,safe,safe first,20,31,73,7,0.943344396,-0.246094925,10,1,3,6,174.2804
22,safe,risky first,13,17,135,5,-1.835774212,-0.310386129,6,1,2,7,154.2961
23,safe,safe first,16,40,93,12,-0.003318831,-0.07917058,6,0,1,4,215.5892
24,safe,risky first,18,30,132,11,-0.850766745,-0.095085833,7,0,0,7,218.4498
25,safe,safe first,13,58,36,13,1.057622705,0.081676587,8,1,1,8,319.0832
26,safe,risky first,18,10,48,15,0.095896481,-0.016130425,5,1,0,3,266.8119
27,safe,safe first,17,60,189,10,0.228704915,0.377958013,7,1,0,1,525.8907
28,safe,risky first,18,28,152,5,-0.768301318,0.363297356,8,1,0,5,522.1871
29,safe,risky first,18,6,55,33,-0.850766745,-0.162660053,8,1,2,4,187.7233
31,safe,safe first,19,22,154,22,1.949946218,0.072643499,7,1,2,6,271.9091
32,safe,risky first,16,18,16,36,-0.798736853,-0.062926415,8,1,1,7.5,230.0254
33,safe,safe first,18,11,71,5,0.238300505,0.115920945,10,1,1,6,392.8571
34,safe,risky first,14,10,300,25,0.124645131,-0.081503273,10,1,2,8,257.653
35,safe,safe first,18,28,300,5,-0.768301318,-0.032476666,6,1,2,4,273.9796
36,safe,risky first,17,8,300,41,1.019278465,-0.057962147,7,1,3,5,232.1428
38,safe,risky first,10,7,300,8,-0.79158256,0.011228067,8,1,0,6,290.8163
39,safe,safe first,16,12,300,22,-0.79158256,-0.072712236,5,1,2,7,257.1428
