X,Z,trial,finished
0,0,1,1
0.3095136,1.65102,1,1
1.172553,4.445639,1,1
1.231461,4.550184,1,1
1.231461,4.550184,1,1
1.231461,4.550184,1,1
1.231461,4.550184,1,1
1.231461,4.550184,1,1
3.46881,4.989137,1,1
6.550456,5.465144,1,1
9.519423,5.878511,1,1
12.50349,6.151048,1,1
14.88859,7.918006,1,1
17.16855,10.04782,1,1
19.18786,12.26042,1,1
20.04504,15.22844,1,1
20.36,18.19991,1,1
20.09238,21.30782,1,1
19.98688,23.33833,1,1
19.98688,23.33833,1,1
19.98688,23.33833,1,1
19.98688,23.33833,1,1
19.98688,23.33833,1,1
19.98688,23.33833,1,1
21.52765,24.67534,1,1
24.14513,26.33406,1,1
26.90788,27.7656,1,1
28.85403,30.04173,1,1
30.02051,32.92878,1,1
30.36,35.88319,1,1
30.36189,38.8744,1,1
30.36629,40.43439,1,1
30.36629,40.43439,1,1
30.36629,40.43439,1,1
30.36629,40.43439,1,1
30.36629,40.43439,1,1
31.67688,42.86333,1,1
33.10147,45.50348,1,1
34.25999,48.25426,1,1
34.83422,51.19404,1,1
35.18473,54.29428,1,1
35.43745,57.2762,1,1
35.47726,57.63398,1,1
35.47726,57.63398,1,1
35.47726,57.63398,1,1
35.36998,57.41929,1,1
34.77496,54.4535,1,1
34.89242,51.45732,1,1
32.88122,49.44445,1,1
29.88406,49.49162,1,1
26.88516,50.05516,1,1
24.9994,52.29314,1,1
24.89277,55.26033,1,1
24.5768,57.87145,1,1
24.5768,57.87145,1,1
24.5768,57.87145,1,1
24.5768,57.87145,1,1
24.57397,57.63147,1,1
24.74826,54.73445,1,1
24.77181,51.73457,1,1
25.55765,48.78091,1,1
26.95449,46.12598,1,1
27.99472,43.19609,1,1
28.87785,40.3297,1,1
30.00133,37.69315,1,1
30.35744,34.59521,1,1
28.65372,32.28061,1,1
25.5534,32.51075,1,1
22.82448,31.26685,1,1
22.82448,31.26685,1,1
20.82243,30.87663,1,1
17.76116,30.28303,1,1
14.79549,30.30269,1,1
12.08599,31.84494,1,1
10.2001,34.07743,1,1
10.05783,37.07383,1,1
9.980773,40.0695,1,1
10.00756,40.18647,1,1
10.00756,40.18647,1,1
9.147634,41.52309,1,1
10.12917,44.28153,1,1
11.72733,46.803,1,1
13.80055,48.9704,1,1
14.78109,51.76166,1,1
15.08811,54.86647,1,1
15.36082,57.49167,1,1
15.36082,57.49167,1,1
15.36082,57.49167,1,1
15.36082,57.49167,1,1
12.88241,57.92114,1,1
12.12,57.5327,1,1
12.12,57.5327,1,1
13.075,57.43486,1,1
15.53115,56.99876,1,1
15.53115,56.99876,1,1
15.27879,55.56646,1,1
15.07488,52.455,1,1
13.88013,49.69772,1,1
11.69515,47.64462,1,1
10.75102,44.73991,1,1
10.19855,41.66924,1,1
9.888205,38.68896,1,1
9.833273,35.68947,1,1
9.778341,32.68997,1,1
9.725607,29.81046,1,1
9.725607,29.81046,1,1
9.725607,29.81046,1,1
9.725607,29.81046,1,1
9.725607,29.81046,1,1
9.725607,29.81046,1,1
9.725607,29.81046,1,1
11.8329,28.94068,1,1
14.34641,27.14703,1,1
16.49535,25.05371,1,1
