x,y,DISTANCE,n,risk,safe_first
1999,2188,188.9,1,1,risky first
1906,2368,202.6,1,1,risky first
1933,2431,68.5,1,1,risky first
1867,2293,153,1,1,risky first
1867,2113,180,1,1,risky first
1933,1933,191.7,1,1,risky first
2044,1753,211.5,1,1,risky first
2074,1573,182.5,1,1,risky first
2095,1393,181.2,1,1,risky first
2122,1213,182,1,1,risky first
2164,1339,132.8,1,1,risky first
2194,1519,182.5,1,1,risky first
2302,1699,209.9,1,1,risky first
2443,1879,228.7,1,1,risky first
2428,1894,21.2,1,1,risky first
2257,1843,178.4,1,1,risky first
2152,1663,208.4,1,1,risky first
2098,1483,187.9,1,1,risky first
2098,1303,180,1,1,risky first
2098,1261,42,1,1,risky first
2098,1441,180,1,1,risky first
2098,1621,180,1,1,risky first
2047,1801,187.1,1,1,risky first
2020,1981,182,1,1,risky first
2107,1903,116.8,1,1,risky first
2107,1723,180,1,1,risky first
2107,1543,180,1,1,risky first
2191,1363,198.6,1,1,risky first
2179,1207,156.5,1,1,risky first
2032,1219,147.5,1,1,risky first
1939,1276,109.1,1,1,risky first
2083,1456,230.5,1,1,risky first
2089,1615,159.1,1,1,risky first
2080,1615,9,1,1,risky first
2080,1615,0,1,1,risky first
2080,1615,0,1,1,risky first
2080,1615,0,1,1,risky first
2080,1594,21,1,1,risky first
2146,1426,180.5,1,1,risky first
2251,1246,208.4,1,1,risky first
2110,1195,149.9,1,1,risky first
1978,1267,150.4,1,1,risky first
2035,1447,188.8,1,1,risky first
2086,1627,187.1,1,1,risky first
2086,1807,180,1,1,risky first
2086,1987,180,1,1,risky first
2152,1906,104.5,1,1,risky first
2152,1726,180,1,1,risky first
2152,1546,180,1,1,risky first
2272,1369,213.8,1,1,risky first
2452,1408,184.2,1,1,risky first
2632,1447,184.2,1,1,risky first
2812,1447,180,1,1,risky first
2992,1381,191.7,1,1,risky first
3172,1291,201.2,1,1,risky first
3184,1186,105.7,1,1,risky first
3004,1015,248.3,1,1,risky first
2824,970,185.5,1,1,risky first
2644,937,183,1,1,risky first
2464,937,180,1,1,risky first
2284,904,183,1,1,risky first
2122,1039,210.9,1,1,risky first
2122,1081,42,1,1,risky first
2227,973,150.6,1,1,risky first
2356,1054,152.3,1,1,risky first
2356,1084,30,1,1,risky first
2392,1102,40.2,1,1,risky first
2473,1228,149.8,1,1,risky first
2356,1408,214.7,1,1,risky first
2176,1525,214.7,1,1,risky first
2047,1702,219,1,1,risky first
2083,1882,183.6,1,1,risky first
2026,2029,157.7,1,1,risky first
1846,1894,225,1,1,risky first
1744,1714,206.9,1,1,risky first
1723,1534,181.2,1,1,risky first
1792,1354,192.8,1,1,risky first
1888,1174,204,1,1,risky first
1999,1030,181.8,1,1,risky first
2047,1072,63.8,1,1,risky first
1906,1054,142.1,1,1,risky first
1807,1234,205.4,1,1,risky first
1873,1414,191.7,1,1,risky first
2050,1594,252.4,1,1,risky first
2086,1774,183.6,1,1,risky first
2086,1954,180,1,1,risky first
1963,2134,218,1,1,risky first
1783,2233,205.4,1,1,risky first
1603,2413,254.6,1,1,risky first
1429,2593,250.4,1,1,risky first
1555,2734,189.1,1,1,risky first
1735,2818,198.6,1,1,risky first
1915,2845,182,1,1,risky first
2095,2692,236.2,1,1,risky first
2275,2551,228.7,1,1,risky first
2275,2371,180,1,1,risky first
2248,2191,182,1,1,risky first
2179,2011,192.8,1,1,risky first
2059,1831,216.3,1,1,risky first
2059,1651,180,1,1,risky first
2047,1471,180.4,1,1,risky first
1933,1291,213.1,1,1,risky first
1933,1111,180,1,1,risky first
1933,931,180,1,1,risky first
1960,751,182,1,1,risky first
2140,712,184.2,1,1,risky first
2320,886,250.4,1,1,risky first
2500,1066,254.6,1,1,risky first
2680,1171,208.4,1,1,risky first
2860,1282,211.5,1,1,risky first
3040,1396,213.1,1,1,risky first
3115,1576,195,1,1,risky first
3250,1756,225,1,1,risky first
3136,1936,213.1,1,1,risky first
3136,2116,180,1,1,risky first
3001,2296,225,1,1,risky first
3145,2476,230.5,1,1,risky first
3196,2656,187.1,1,1,risky first
3169,2836,182,1,1,risky first
3205,3016,183.6,1,1,risky first
3205,3196,180,1,1,risky first
3094,3280,139.2,1,1,risky first
2914,3175,208.4,1,1,risky first
2734,3175,180,1,1,risky first
2554,3130,185.5,1,1,risky first
2374,2950,254.6,1,1,risky first
2194,2770,254.6,1,1,risky first
2098,2590,204,1,1,risky first
2062,2410,183.6,1,1,risky first
2071,2230,180.2,1,1,risky first
1966,2050,208.4,1,1,risky first
2116,1870,234.3,1,1,risky first
2200,1690,198.6,1,1,risky first
2221,1540,151.5,1,1,risky first
2401,1537,180,1,1,risky first
2488,1357,199.9,1,1,risky first
2488,1177,180,1,1,risky first
2488,997,180,1,1,risky first
2356,817,223.2,1,1,risky first
2176,745,193.9,1,1,risky first
2131,742,45.1,1,1,risky first
1951,742,180,1,1,risky first
1771,847,208.4,1,1,risky first
1591,955,209.9,1,1,risky first
1411,955,180,1,1,risky first
1294,1063,159.2,1,1,risky first
1114,1243,254.6,1,1,risky first
1135,1411,169.3,1,1,risky first
1309,1525,208,1,1,risky first
1462,1399,198.2,1,1,risky first
1642,1264,225,1,1,risky first
1822,1369,208.4,1,1,risky first
2002,1549,254.6,1,1,risky first
2086,1729,198.6,1,1,risky first
2086,1909,180,1,1,risky first
2011,2041,151.8,1,1,risky first
1831,2041,180,1,1,risky first
1651,1921,216.3,1,1,risky first
1471,1741,254.6,1,1,risky first
1291,1561,254.6,1,1,risky first
1234,1489,91.8,1,1,risky first
1414,1669,254.6,1,1,risky first
