n,risk,safe_first,time,patch
1,risky,risky first,10,1
1,risky,risky first,20,1
1,risky,risky first,30,1
1,risky,risky first,41,1
1,risky,risky first,148,2
1,risky,risky first,161,2
1,risky,risky first,170,2
1,risky,risky first,198,2
1,risky,risky first,217,2
1,risky,risky first,234,2
1,risky,risky first,247,2
1,risky,risky first,272,2
1,risky,risky first,284,2
1,safe,risky first,17,1
1,safe,risky first,38,1
1,safe,risky first,56,2
1,safe,risky first,68,2
1,safe,risky first,78,2
1,safe,risky first,87,2
1,safe,risky first,96,2
1,safe,risky first,105,2
1,safe,risky first,118,2
1,safe,risky first,127,2
1,safe,risky first,136,2
1,safe,risky first,145,2
1,safe,risky first,156,2
1,safe,risky first,201,1
1,safe,risky first,219,1
1,safe,risky first,241,1
1,safe,risky first,261,1
1,safe,risky first,276,2
1,safe,risky first,286,1
2,risky,risky first,11,1
2,risky,risky first,32,1
2,risky,risky first,90,1
2,risky,risky first,98,1
2,risky,risky first,111,1
2,risky,risky first,139,1
2,risky,risky first,146,2
2,risky,risky first,180,1
2,risky,risky first,187,2
2,risky,risky first,222,1
2,safe,risky first,79,1
2,safe,risky first,114,2
2,safe,risky first,126,2
2,safe,risky first,147,1
2,safe,risky first,174,2
2,safe,risky first,193,2
2,safe,risky first,219,2
2,safe,risky first,228,2
2,safe,risky first,237,2
2,safe,risky first,250,2
2,safe,risky first,258,1
2,safe,risky first,278,1
3,safe,safe first,4,1
3,safe,safe first,14,1
3,safe,safe first,75,1
3,safe,safe first,113,2
3,safe,safe first,122,2
3,safe,safe first,132,2
3,safe,safe first,141,2
3,safe,safe first,151,2
3,safe,safe first,160,2
3,safe,safe first,170,2
3,safe,safe first,179,2
3,safe,safe first,189,2
3,safe,safe first,198,2
3,safe,safe first,208,2
3,safe,safe first,216,1
3,safe,safe first,237,1
3,safe,safe first,259,1
3,risky,safe first,13,1
3,risky,safe first,40,2
3,risky,safe first,52,2
3,risky,safe first,64,2
3,risky,safe first,76,2
3,risky,safe first,86,2
3,risky,safe first,97,1
3,risky,safe first,113,2
3,risky,safe first,150,2
3,risky,safe first,160,2
3,risky,safe first,169,2
3,risky,safe first,179,2
3,risky,safe first,192,2
3,risky,safe first,219,2
3,risky,safe first,238,1
3,risky,safe first,259,2
4,safe,safe first,62,1
4,safe,safe first,81,1
4,safe,safe first,159,2
4,safe,safe first,171,2
4,safe,safe first,185,2
4,safe,safe first,195,2
4,safe,safe first,205,2
4,safe,safe first,216,2
4,safe,safe first,226,2
4,safe,safe first,236,2
4,safe,safe first,246,2
4,safe,safe first,256,2
4,safe,safe first,271,2
4,risky,safe first,50,1
4,risky,safe first,74,1
4,risky,safe first,85,1
4,risky,safe first,121,2
4,risky,safe first,187,1
5,risky,risky first,16,2
5,risky,risky first,21,2
5,risky,risky first,34,2
5,risky,risky first,87,2
5,risky,risky first,117,2
5,risky,risky first,146,2
5,risky,risky first,159,2
5,risky,risky first,196,1
5,risky,risky first,211,2
5,risky,risky first,235,1
5,risky,risky first,251,1
5,risky,risky first,276,1
5,safe,risky first,38,1
5,safe,risky first,46,2
5,safe,risky first,65,2
5,safe,risky first,78,1
5,safe,risky first,105,1
5,safe,risky first,166,2
5,safe,risky first,182,1
5,safe,risky first,205,1
5,safe,risky first,215,2
5,safe,risky first,233,2
5,safe,risky first,253,1
5,safe,risky first,261,2
5,safe,risky first,278,2
6,safe,safe first,5,1
6,safe,safe first,15,1
6,safe,safe first,27,1
6,safe,safe first,42,1
6,safe,safe first,75,1
6,safe,safe first,104,2
6,safe,safe first,114,2
6,safe,safe first,124,2
6,safe,safe first,133,2
6,safe,safe first,152,2
6,safe,safe first,161,2
6,safe,safe first,170,2
6,safe,safe first,180,2
6,safe,safe first,189,2
6,safe,safe first,201,2
6,safe,safe first,206,2
6,safe,safe first,216,1
6,safe,safe first,236,1
6,safe,safe first,255,1
6,safe,safe first,275,1
6,safe,safe first,295,1
6,risky,safe first,22,1
6,risky,safe first,34,1
6,risky,safe first,43,1
6,risky,safe first,68,1
6,risky,safe first,80,1
6,risky,safe first,95,1
6,risky,safe first,150,2
6,risky,safe first,163,2
6,risky,safe first,177,2
6,risky,safe first,209,2
6,risky,safe first,232,2
6,risky,safe first,248,2
6,risky,safe first,265,2
7,risky,risky first,21,1
7,risky,risky first,38,1
7,risky,risky first,53,1
7,risky,risky first,69,1
7,risky,risky first,102,1
7,risky,risky first,147,2
7,risky,risky first,165,2
7,risky,risky first,176,2
7,risky,risky first,186,2
7,risky,risky first,230,2
7,risky,risky first,246,2
7,risky,risky first,249,2
7,risky,risky first,260,2
7,risky,risky first,270,2
7,risky,risky first,282,2
7,safe,risky first,22,1
7,safe,risky first,37,1
7,safe,risky first,51,1
7,safe,risky first,118,1
7,safe,risky first,139,1
7,safe,risky first,164,1
7,safe,risky first,187,1
7,safe,risky first,210,1
7,safe,risky first,232,1
7,safe,risky first,256,1
7,safe,risky first,283,1
7,safe,risky first,285,1
7,safe,risky first,290,1
7,safe,risky first,295,1
7,safe,risky first,299,1
8,risky,safe first,38,1
8,risky,safe first,208,2
8,risky,safe first,238,2
8,risky,safe first,248,2
8,risky,safe first,260,2
8,risky,safe first,269,2
8,risky,safe first,290,2
8,safe,safe first,41,1
8,safe,safe first,154,1
8,safe,safe first,157,1
8,safe,safe first,230,1
8,safe,safe first,237,1
9,safe,risky first,14,1
9,safe,risky first,42,1
9,safe,risky first,112,1
9,safe,risky first,241,1
9,safe,risky first,246,2
9,risky,risky first,31,1
9,risky,risky first,187,2
9,risky,risky first,216,2
9,risky,risky first,232,2
9,risky,risky first,262,2
9,risky,risky first,280,2
10,risky,safe first,42,1
10,risky,safe first,57,1
10,risky,safe first,73,1
10,risky,safe first,97,1
10,risky,safe first,117,2
10,risky,safe first,132,2
10,risky,safe first,142,2
10,risky,safe first,159,2
10,risky,safe first,193,2
10,risky,safe first,226,2
10,risky,safe first,255,1
10,risky,safe first,282,2
10,safe,safe first,23,1
10,safe,safe first,34,1
10,safe,safe first,49,1
10,safe,safe first,64,1
10,safe,safe first,100,2
10,safe,safe first,112,2
10,safe,safe first,122,2
10,safe,safe first,133,2
10,safe,safe first,147,2
10,safe,safe first,158,2
10,safe,safe first,168,2
10,safe,safe first,179,2
10,safe,safe first,189,2
10,safe,safe first,201,2
10,safe,safe first,214,2
10,safe,safe first,223,1
10,safe,safe first,246,1
10,safe,safe first,269,1
10,safe,safe first,289,1
11,safe,risky first,23,1
11,safe,risky first,34,1
11,safe,risky first,47,1
11,safe,risky first,65,1
11,safe,risky first,90,2
11,safe,risky first,104,2
11,safe,risky first,115,2
11,safe,risky first,125,2
11,safe,risky first,136,2
11,safe,risky first,146,2
11,safe,risky first,156,2
11,safe,risky first,165,2
11,safe,risky first,176,2
11,safe,risky first,185,2
11,safe,risky first,199,2
11,safe,risky first,246,1
11,safe,risky first,271,2
11,safe,risky first,297,1
11,risky,risky first,29,1
11,risky,risky first,45,1
11,risky,risky first,61,1
11,risky,risky first,93,1
11,risky,risky first,125,2
11,risky,risky first,134,2
11,risky,risky first,145,2
11,risky,risky first,156,2
11,risky,risky first,166,2
11,risky,risky first,175,2
11,risky,risky first,185,2
11,risky,risky first,195,2
11,risky,risky first,204,2
11,risky,risky first,215,2
11,risky,risky first,226,2
11,risky,risky first,286,1
12,safe,safe first,55,1
12,safe,safe first,86,1
12,safe,safe first,109,1
12,safe,safe first,132,1
12,safe,safe first,157,1
12,safe,safe first,181,1
12,safe,safe first,210,1
12,safe,safe first,233,1
12,safe,safe first,256,1
12,safe,safe first,280,1
12,safe,safe first,294,2
12,risky,safe first,73,1
12,risky,safe first,93,2
12,risky,safe first,101,2
12,risky,safe first,114,2
12,risky,safe first,145,2
12,risky,safe first,204,2
12,risky,safe first,221,2
12,risky,safe first,228,2
12,risky,safe first,242,2
12,risky,safe first,260,2
12,risky,safe first,262,2
12,risky,safe first,281,2
13,safe,risky first,31,1
13,safe,risky first,64,2
13,safe,risky first,73,2
13,safe,risky first,95,2
13,safe,risky first,104,2
13,safe,risky first,115,2
13,safe,risky first,124,2
13,safe,risky first,133,2
13,safe,risky first,142,2
13,safe,risky first,197,2
13,safe,risky first,263,1
13,safe,risky first,297,1
13,risky,risky first,18,1
13,risky,risky first,25,2
13,risky,risky first,32,1
13,risky,risky first,51,1
13,risky,risky first,108,1
13,risky,risky first,142,2
13,risky,risky first,173,2
13,risky,risky first,184,2
13,risky,risky first,198,2
13,risky,risky first,207,2
13,risky,risky first,218,2
13,risky,risky first,227,2
13,risky,risky first,239,2
13,risky,risky first,248,1
13,risky,risky first,270,1
14,safe,safe first,38,1
14,safe,safe first,47,1
14,safe,safe first,86,1
14,safe,safe first,108,1
14,safe,safe first,128,1
14,safe,safe first,148,1
14,safe,safe first,169,1
14,safe,safe first,188,1
14,safe,safe first,218,1
14,safe,safe first,276,2
14,safe,safe first,286,2
14,safe,safe first,295,2
14,risky,safe first,70,1
14,risky,safe first,86,1
14,risky,safe first,100,1
14,risky,safe first,112,1
14,risky,safe first,131,1
14,risky,safe first,143,1
14,risky,safe first,163,1
14,risky,safe first,201,1
14,risky,safe first,204,1
14,risky,safe first,274,1
15,safe,risky first,20,1
15,safe,risky first,44,1
15,safe,risky first,56,1
15,safe,risky first,80,1
15,safe,risky first,97,2
15,safe,risky first,107,2
15,safe,risky first,117,2
15,safe,risky first,126,2
15,safe,risky first,145,2
15,safe,risky first,154,2
15,safe,risky first,193,2
15,safe,risky first,202,1
15,safe,risky first,224,1
15,safe,risky first,247,1
15,safe,risky first,269,1
15,safe,risky first,289,1
15,risky,risky first,17,1
15,risky,risky first,26,1
15,risky,risky first,53,1
15,risky,risky first,69,1
15,risky,risky first,126,2
15,risky,risky first,136,2
15,risky,risky first,147,2
15,risky,risky first,156,2
15,risky,risky first,160,2
15,risky,risky first,169,2
15,risky,risky first,182,2
15,risky,risky first,192,2
15,risky,risky first,202,2
15,risky,risky first,212,2
15,risky,risky first,216,2
15,risky,risky first,227,1
15,risky,risky first,245,1
15,risky,risky first,262,1
15,risky,risky first,280,1
16,safe,safe first,38,1
16,safe,safe first,47,1
16,safe,safe first,57,1
16,safe,safe first,66,1
16,safe,safe first,98,1
16,safe,safe first,107,1
16,safe,safe first,116,1
16,safe,safe first,145,1
16,safe,safe first,157,1
16,safe,safe first,174,1
16,safe,safe first,184,1
16,safe,safe first,194,1
16,safe,safe first,202,1
16,safe,safe first,253,1
16,safe,safe first,263,1
16,risky,safe first,37,1
16,risky,safe first,43,2
16,risky,safe first,120,2
16,risky,safe first,145,1
16,risky,safe first,168,2
16,risky,safe first,204,2
16,risky,safe first,232,2
16,risky,safe first,234,2
16,risky,safe first,253,1
16,risky,safe first,270,1
17,safe,risky first,58,1
17,safe,risky first,84,1
17,safe,risky first,97,1
17,safe,risky first,113,1
17,safe,risky first,136,1
17,safe,risky first,159,1
17,safe,risky first,180,1
17,safe,risky first,200,1
17,safe,risky first,223,1
17,safe,risky first,244,1
17,safe,risky first,264,1
17,safe,risky first,272,1
17,safe,risky first,289,2
17,risky,risky first,50,1
17,risky,risky first,61,1
17,risky,risky first,65,1
17,risky,risky first,128,1
17,risky,risky first,196,1
17,risky,risky first,248,2
18,safe,safe first,8,1
18,safe,safe first,18,1
18,safe,safe first,31,1
18,safe,safe first,46,1
18,safe,safe first,66,1
18,safe,safe first,87,1
18,safe,safe first,130,1
18,safe,safe first,151,1
18,safe,safe first,182,2
18,safe,safe first,191,2
18,safe,safe first,202,2
18,safe,safe first,212,2
18,safe,safe first,222,2
18,safe,safe first,232,2
18,safe,safe first,242,2
18,safe,safe first,252,2
18,safe,safe first,263,2
18,safe,safe first,275,2
18,safe,safe first,288,2
18,risky,safe first,24,1
18,risky,safe first,48,1
18,risky,safe first,106,2
18,risky,safe first,124,2
18,risky,safe first,133,2
18,risky,safe first,142,2
18,risky,safe first,187,2
18,risky,safe first,196,2
18,risky,safe first,198,2
18,risky,safe first,217,2
19,safe,risky first,5,1
19,safe,risky first,18,2
19,safe,risky first,45,2
19,safe,risky first,54,2
19,safe,risky first,63,2
19,safe,risky first,75,2
19,safe,risky first,86,2
19,safe,risky first,95,2
19,safe,risky first,113,2
19,safe,risky first,122,2
19,safe,risky first,136,2
19,safe,risky first,141,1
19,safe,risky first,152,1
19,safe,risky first,163,1
19,safe,risky first,173,2
19,safe,risky first,184,1
19,safe,risky first,216,2
19,safe,risky first,249,1
19,risky,risky first,7,1
